('algorithm', 'FedTwin')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.3)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.05)
('lamda', 15)
('K', 5)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
('device', device(type='cuda', index=0))
Client 0, noise level: 0.8484 (0.7635), real noise ratio: 0.7418
Client 1, noise level: 0.9815 (0.8834), real noise ratio: 0.8855
Client 2, noise level: 0.6389 (0.5750), real noise ratio: 0.5508
Client 3, noise level: 0.6168 (0.5551), real noise ratio: 0.5359
Client 4, noise level: 0.9228 (0.8306), real noise ratio: 0.7772
Client 5, noise level: 0.6121 (0.5509), real noise ratio: 0.5269
Client 6, noise level: 0.8445 (0.7600), real noise ratio: 0.7630
Client 7, noise level: 0.5767 (0.5191), real noise ratio: 0.5274
Client 8, noise level: 0.6018 (0.5416), real noise ratio: 0.5386
Client 9, noise level: 0.5338 (0.4804), real noise ratio: 0.4692
Client 10, noise level: 0.8747 (0.7873), real noise ratio: 0.8126
Client 11, noise level: 0.5900 (0.5310), real noise ratio: 0.5260
Client 12, noise level: 0.5621 (0.5059), real noise ratio: 0.5234
Client 13, noise level: 0.6124 (0.5512), real noise ratio: 0.5431
Client 14, noise level: 0.6397 (0.5758), real noise ratio: 0.5783
Client 15, noise level: 0.5169 (0.4652), real noise ratio: 0.4635
Client 16, noise level: 0.6272 (0.5645), real noise ratio: 0.5728
Client 17, noise level: 0.8344 (0.7510), real noise ratio: 0.7295
Client 18, noise level: 0.8800 (0.7920), real noise ratio: 0.7716
Client 19, noise level: 0.6130 (0.5517), real noise ratio: 0.5278
Client 20, noise level: 0.8059 (0.7253), real noise ratio: 0.7195
Client 21, noise level: 0.9561 (0.8605), real noise ratio: 0.8505
Client 22, noise level: 0.7708 (0.6937), real noise ratio: 0.7044
Client 23, noise level: 0.6870 (0.6183), real noise ratio: 0.6006
Client 24, noise level: 0.5066 (0.4559), real noise ratio: 0.4477
Client 25, noise level: 0.9147 (0.8232), real noise ratio: 0.8286
