('algorithm', 'FedCorr')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.5)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 1)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
('device', device(type='cuda', index=0))
Client 0, noise level: 0.8484 (0.7635), real noise ratio: 0.7622
Client 1, noise level: 0.9815 (0.8834), real noise ratio: 0.9146
Client 2, noise level: 0.6389 (0.5750), real noise ratio: 0.5685
Client 3, noise level: 0.6168 (0.5551), real noise ratio: 0.5291
Client 4, noise level: 0.9228 (0.8306), real noise ratio: 0.8280
Client 5, noise level: 0.6121 (0.5509), real noise ratio: 0.5169
Client 6, noise level: 0.8445 (0.7600), real noise ratio: 0.7428
Client 7, noise level: 0.5767 (0.5191), real noise ratio: 0.5263
Client 8, noise level: 0.6018 (0.5416), real noise ratio: 0.5077
Client 9, noise level: 0.5338 (0.4804), real noise ratio: 0.4917
Client 10, noise level: 0.8747 (0.7873), real noise ratio: 0.7912
Client 11, noise level: 0.5900 (0.5310), real noise ratio: 0.5320
Client 12, noise level: 0.5621 (0.5059), real noise ratio: 0.5283
Client 13, noise level: 0.6124 (0.5512), real noise ratio: 0.5409
Client 14, noise level: 0.6397 (0.5758), real noise ratio: 0.5909
Client 15, noise level: 0.5169 (0.4652), real noise ratio: 0.4493
Client 16, noise level: 0.6272 (0.5645), real noise ratio: 0.5718
Client 17, noise level: 0.8344 (0.7510), real noise ratio: 0.7479
Client 18, noise level: 0.8800 (0.7920), real noise ratio: 0.7993
Client 19, noise level: 0.6130 (0.5517), real noise ratio: 0.5489
Client 20, noise level: 0.8059 (0.7253), real noise ratio: 0.7437
Client 21, noise level: 0.9561 (0.8605), real noise ratio: 0.8731
Client 22, noise level: 0.7708 (0.6937), real noise ratio: 0.7105
Client 23, noise level: 0.6870 (0.6183), real noise ratio: 0.6296
Client 24, noise level: 0.5066 (0.4559), real noise ratio: 0.4494
Client 25, noise level: 0.9147 (0.8232), real noise ratio: 0.8264
Client 26, noise level: 0.9083 (0.8175), real noise ratio: 0.8031
Client 27, noise level: 0.5399 (0.4859), real noise ratio: 0.4731
Client 28, noise level: 0.5858 (0.5273), real noise ratio: 0.5309
Client 29, noise level: 0.9191 (0.8272), real noise ratio: 0.8255
Client 30, noise level: 0.7821 (0.7039), real noise ratio: 0.7163
Client 31, noise level: 0.6749 (0.6074), real noise ratio: 0.6107
Client 32, noise level: 0.5725 (0.5153), real noise ratio: 0.5481
Client 33, noise level: 0.5493 (0.4943), real noise ratio: 0.4519
Client 34, noise level: 0.7801 (0.7021), real noise ratio: 0.6620
Client 35, noise level: 0.8550 (0.7695), real noise ratio: 0.7981
Client 36, noise level: 0.9754 (0.8779), real noise ratio: 0.8755
Client 37, noise level: 0.8740 (0.7866), real noise ratio: 0.7905
Client 38, noise level: 0.6861 (0.6175), real noise ratio: 0.6011
Client 39, noise level: 0.8792 (0.7913), real noise ratio: 0.7986
Client 40, noise level: 0.5355 (0.4820), real noise ratio: 0.4811
Client 41, noise level: 0.8109 (0.7298), real noise ratio: 0.7134
Client 42, noise level: 0.8604 (0.7743), real noise ratio: 0.7773
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4968
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.6546
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.4715
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.5481
Client 47, noise level: 0.6133 (0.5519), real noise ratio: 0.5697
Client 48, noise level: 0.6523 (0.5871), real noise ratio: 0.5908
Client 49, noise level: 0.5681 (0.5113), real noise ratio: 0.4918
Client 50, noise level: 0.8471 (0.7624), real noise ratio: 0.7598
Client 51, noise level: 0.5264 (0.4738), real noise ratio: 0.4846
Client 52, noise level: 0.7907 (0.7116), real noise ratio: 0.7219
Client 53, noise level: 0.5899 (0.5309), real noise ratio: 0.5643
Client 54, noise level: 0.7533 (0.6780), real noise ratio: 0.6947
Client 55, noise level: 0.6408 (0.5767), real noise ratio: 0.5791
Client 56, noise level: 0.6850 (0.6165), real noise ratio: 0.5917
Client 57, noise level: 0.7523 (0.6770), real noise ratio: 0.6715
Client 58, noise level: 0.5612 (0.5050), real noise ratio: 0.5310
Client 59, noise level: 0.5653 (0.5088), real noise ratio: 0.5495
Client 60, noise level: 0.9222 (0.8300), real noise ratio: 0.8266
Client 61, noise level: 0.6961 (0.6265), real noise ratio: 0.6424
Client 62, noise level: 0.5848 (0.5263), real noise ratio: 0.5398
Client 63, noise level: 0.9006 (0.8105), real noise ratio: 0.8316
Client 64, noise level: 0.9551 (0.8596), real noise ratio: 0.8336
Client 65, noise level: 0.9148 (0.8233), real noise ratio: 0.8407
Client 66, noise level: 0.8570 (0.7713), real noise ratio: 0.7371
Client 67, noise level: 0.5497 (0.4947), real noise ratio: 0.4597
Client 68, noise level: 0.9567 (0.8610), real noise ratio: 0.8910
Client 69, noise level: 0.7890 (0.7101), real noise ratio: 0.7198
Client 70, noise level: 0.9501 (0.8551), real noise ratio: 0.8404
Client 71, noise level: 0.7818 (0.7036), real noise ratio: 0.6927
Client 72, noise level: 0.5049 (0.4544), real noise ratio: 0.4943
Client 73, noise level: 0.9971 (0.8974), real noise ratio: 0.8933
Client 74, noise level: 0.5662 (0.5096), real noise ratio: 0.5243
Client 75, noise level: 0.8463 (0.7617), real noise ratio: 0.7204
Client 76, noise level: 0.6671 (0.6004), real noise ratio: 0.5972
Client 77, noise level: 0.5901 (0.5311), real noise ratio: 0.5317
Client 78, noise level: 0.5703 (0.5133), real noise ratio: 0.4906
Client 79, noise level: 0.8346 (0.7512), real noise ratio: 0.7384
Client 80, noise level: 0.6519 (0.5867), real noise ratio: 0.5912
Client 81, noise level: 0.8068 (0.7261), real noise ratio: 0.7453
Client 82, noise level: 0.9678 (0.8710), real noise ratio: 0.8519
Client 83, noise level: 0.6015 (0.5413), real noise ratio: 0.5054
Client 84, noise level: 0.5598 (0.5038), real noise ratio: 0.5460
Client 85, noise level: 0.6961 (0.6265), real noise ratio: 0.6575
Client 86, noise level: 0.8473 (0.7625), real noise ratio: 0.7575
Client 87, noise level: 0.9725 (0.8752), real noise ratio: 0.8637
Client 88, noise level: 0.5817 (0.5235), real noise ratio: 0.5145
Client 89, noise level: 0.7294 (0.6564), real noise ratio: 0.6725
Client 90, noise level: 0.6394 (0.5755), real noise ratio: 0.5969
Client 91, noise level: 0.6023 (0.5421), real noise ratio: 0.5253
Client 92, noise level: 0.6542 (0.5888), real noise ratio: 0.5783
Client 93, noise level: 0.8978 (0.8080), real noise ratio: 0.7881
Client 94, noise level: 0.5464 (0.4918), real noise ratio: 0.4579
Client 95, noise level: 0.9345 (0.8411), real noise ratio: 0.8514
Client 96, noise level: 0.9169 (0.8252), real noise ratio: 0.8193
Client 97, noise level: 0.8409 (0.7568), real noise ratio: 0.7313
Client 98, noise level: 0.6479 (0.5831), real noise ratio: 0.6106
Client 99, noise level: 0.5831 (0.5248), real noise ratio: 0.5007
LeNet(
  (conv1): Conv2d(1, 6, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (batch_norm): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc1): Linear(in_features=400, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=10, bias=True)
)
Round 0 global test acc  95.6700
Round 1 global test acc  95.9400
Round 2 global test acc  95.8100
Round 3 global test acc  95.7300
Round 4 global test acc  95.4700
Round 5 global test acc  95.6500
Round 6 global test acc  95.4500
Round 7 global test acc  95.6200
Round 8 global test acc  95.4400
Round 9 global test acc  95.5600
Round 10 global test acc  95.8200
Round 11 global test acc  96.0300
Round 12 global test acc  95.9100
Round 13 global test acc  95.9100
Round 14 global test acc  95.8200
Round 15 global test acc  95.7300
Round 16 global test acc  95.8500
Round 17 global test acc  95.8000
Round 18 global test acc  95.8800
Round 19 global test acc  96.0000
Round 20 global test acc  95.9700
Round 21 global test acc  96.0200
Round 22 global test acc  95.9800
Round 23 global test acc  95.9700
Round 24 global test acc  95.6200
Round 25 global test acc  95.4100
Round 26 global test acc  95.7400
Round 27 global test acc  95.5500
Round 28 global test acc  95.7800
Round 29 global test acc  95.5200
Round 30 global test acc  95.4700
Round 31 global test acc  95.8600
Round 32 global test acc  95.9800
Round 33 global test acc  95.9100
Round 34 global test acc  95.9400
Round 35 global test acc  95.9800
Round 36 global test acc  95.6800
Round 37 global test acc  95.7000
Round 38 global test acc  95.7900
Round 39 global test acc  95.8000
Round 40 global test acc  95.8200
Round 41 global test acc  95.6300
Round 42 global test acc  96.0200
Round 43 global test acc  96.2800
Round 44 global test acc  96.2000
Round 45 global test acc  96.1800
