('algorithm', 'MR')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.5)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 1)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
('device', device(type='cuda', index=0))
Client 0, noise level: 0.8484 (0.7635), real noise ratio: 0.7716
Client 1, noise level: 0.9815 (0.8834), real noise ratio: 0.8502
Client 2, noise level: 0.6389 (0.5750), real noise ratio: 0.5519
Client 3, noise level: 0.6168 (0.5551), real noise ratio: 0.5558
Client 4, noise level: 0.9228 (0.8306), real noise ratio: 0.8176
Client 5, noise level: 0.6121 (0.5509), real noise ratio: 0.5371
Client 6, noise level: 0.8445 (0.7600), real noise ratio: 0.7531
Client 7, noise level: 0.5767 (0.5191), real noise ratio: 0.5392
Client 8, noise level: 0.6018 (0.5416), real noise ratio: 0.5165
Client 9, noise level: 0.5338 (0.4804), real noise ratio: 0.4468
Client 10, noise level: 0.8747 (0.7873), real noise ratio: 0.8093
Client 11, noise level: 0.5900 (0.5310), real noise ratio: 0.4725
Client 12, noise level: 0.5621 (0.5059), real noise ratio: 0.4827
Client 13, noise level: 0.6124 (0.5512), real noise ratio: 0.5413
Client 14, noise level: 0.6397 (0.5758), real noise ratio: 0.5663
Client 15, noise level: 0.5169 (0.4652), real noise ratio: 0.4552
Client 16, noise level: 0.6272 (0.5645), real noise ratio: 0.5666
Client 17, noise level: 0.8344 (0.7510), real noise ratio: 0.7420
Client 18, noise level: 0.8800 (0.7920), real noise ratio: 0.8003
Client 19, noise level: 0.6130 (0.5517), real noise ratio: 0.5967
Client 20, noise level: 0.8059 (0.7253), real noise ratio: 0.7104
Client 21, noise level: 0.9561 (0.8605), real noise ratio: 0.8819
Client 22, noise level: 0.7708 (0.6937), real noise ratio: 0.6937
Client 23, noise level: 0.6870 (0.6183), real noise ratio: 0.6427
Client 24, noise level: 0.5066 (0.4559), real noise ratio: 0.4672
Client 25, noise level: 0.9147 (0.8232), real noise ratio: 0.8523
Client 26, noise level: 0.9083 (0.8175), real noise ratio: 0.8120
Client 27, noise level: 0.5399 (0.4859), real noise ratio: 0.4725
Client 28, noise level: 0.5858 (0.5273), real noise ratio: 0.4699
Client 29, noise level: 0.9191 (0.8272), real noise ratio: 0.8000
Client 30, noise level: 0.7821 (0.7039), real noise ratio: 0.6751
Client 31, noise level: 0.6749 (0.6074), real noise ratio: 0.5957
Client 32, noise level: 0.5725 (0.5153), real noise ratio: 0.5000
Client 33, noise level: 0.5493 (0.4943), real noise ratio: 0.5152
Client 34, noise level: 0.7801 (0.7021), real noise ratio: 0.6939
Client 35, noise level: 0.8550 (0.7695), real noise ratio: 0.7664
Client 36, noise level: 0.9754 (0.8779), real noise ratio: 0.8682
Client 37, noise level: 0.8740 (0.7866), real noise ratio: 0.7813
Client 38, noise level: 0.6861 (0.6175), real noise ratio: 0.6327
Client 39, noise level: 0.8792 (0.7913), real noise ratio: 0.7738
Client 40, noise level: 0.5355 (0.4820), real noise ratio: 0.4871
Client 41, noise level: 0.8109 (0.7298), real noise ratio: 0.7529
Client 42, noise level: 0.8604 (0.7743), real noise ratio: 0.8056
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4928
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.6660
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.5211
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.5496
Client 47, noise level: 0.6133 (0.5519), real noise ratio: 0.5604
Client 48, noise level: 0.6523 (0.5871), real noise ratio: 0.6182
Client 49, noise level: 0.5681 (0.5113), real noise ratio: 0.5241
Client 50, noise level: 0.8471 (0.7624), real noise ratio: 0.7963
Client 51, noise level: 0.5264 (0.4738), real noise ratio: 0.4718
