('algorithm', 'FedTwin')
('gpu', 1)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.7)
('dataset', 'mnist')
('iid', True)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.05)
('lamda', 15)
('K', 5)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
('device', device(type='cuda', index=1))
Client 0, noise level: 0.8484 (0.7635), real noise ratio: 0.7467
Client 1, noise level: 0.9815 (0.8834), real noise ratio: 0.8850
Client 2, noise level: 0.6389 (0.5750), real noise ratio: 0.5900
Client 3, noise level: 0.6168 (0.5551), real noise ratio: 0.5967
Client 4, noise level: 0.9228 (0.8306), real noise ratio: 0.8500
Client 5, noise level: 0.6121 (0.5509), real noise ratio: 0.5417
Client 6, noise level: 0.8445 (0.7600), real noise ratio: 0.7600
Client 7, noise level: 0.5767 (0.5191), real noise ratio: 0.4783
Client 8, noise level: 0.6018 (0.5416), real noise ratio: 0.5183
Client 9, noise level: 0.5338 (0.4804), real noise ratio: 0.5117
Client 10, noise level: 0.8747 (0.7873), real noise ratio: 0.8050
Client 11, noise level: 0.5900 (0.5310), real noise ratio: 0.5383
Client 12, noise level: 0.5621 (0.5059), real noise ratio: 0.5250
Client 13, noise level: 0.6124 (0.5512), real noise ratio: 0.5683
Client 14, noise level: 0.6397 (0.5758), real noise ratio: 0.5783
Client 15, noise level: 0.5169 (0.4652), real noise ratio: 0.5017
Client 16, noise level: 0.6272 (0.5645), real noise ratio: 0.5783
Client 17, noise level: 0.8344 (0.7510), real noise ratio: 0.7650
Client 18, noise level: 0.8800 (0.7920), real noise ratio: 0.8083
Client 19, noise level: 0.6130 (0.5517), real noise ratio: 0.5383
Client 20, noise level: 0.8059 (0.7253), real noise ratio: 0.7067
Client 21, noise level: 0.9561 (0.8605), real noise ratio: 0.8817
Client 22, noise level: 0.7708 (0.6937), real noise ratio: 0.7067
Client 23, noise level: 0.6870 (0.6183), real noise ratio: 0.6000
Client 24, noise level: 0.5066 (0.4559), real noise ratio: 0.4567
Client 25, noise level: 0.9147 (0.8232), real noise ratio: 0.8483
Client 26, noise level: 0.9083 (0.8175), real noise ratio: 0.8183
Client 27, noise level: 0.5399 (0.4859), real noise ratio: 0.5100
Client 28, noise level: 0.5858 (0.5273), real noise ratio: 0.5200
Client 29, noise level: 0.9191 (0.8272), real noise ratio: 0.8383
Client 30, noise level: 0.7821 (0.7039), real noise ratio: 0.7083
Client 31, noise level: 0.6749 (0.6074), real noise ratio: 0.6167
Client 32, noise level: 0.5725 (0.5153), real noise ratio: 0.4867
Client 33, noise level: 0.5493 (0.4943), real noise ratio: 0.5100
Client 34, noise level: 0.7801 (0.7021), real noise ratio: 0.7133
Client 35, noise level: 0.8550 (0.7695), real noise ratio: 0.7650
Client 36, noise level: 0.9754 (0.8779), real noise ratio: 0.8800
Client 37, noise level: 0.8740 (0.7866), real noise ratio: 0.7883
Client 38, noise level: 0.6861 (0.6175), real noise ratio: 0.6083
Client 39, noise level: 0.8792 (0.7913), real noise ratio: 0.7917
Client 40, noise level: 0.5355 (0.4820), real noise ratio: 0.4883
Client 41, noise level: 0.8109 (0.7298), real noise ratio: 0.7467
Client 42, noise level: 0.8604 (0.7743), real noise ratio: 0.7850
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4267
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.6117
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.5283
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.6050
Client 47, noise level: 0.6133 (0.5519), real noise ratio: 0.5667
Client 48, noise level: 0.6523 (0.5871), real noise ratio: 0.5767
Client 49, noise level: 0.5681 (0.5113), real noise ratio: 0.4817
Client 50, noise level: 0.8471 (0.7624), real noise ratio: 0.7850
Client 51, noise level: 0.5264 (0.4738), real noise ratio: 0.4833
Client 52, noise level: 0.7907 (0.7116), real noise ratio: 0.7167
Client 53, noise level: 0.5899 (0.5309), real noise ratio: 0.5233
Client 54, noise level: 0.7533 (0.6780), real noise ratio: 0.6617
Client 55, noise level: 0.6408 (0.5767), real noise ratio: 0.5500
Client 56, noise level: 0.6850 (0.6165), real noise ratio: 0.6417
Client 57, noise level: 0.7523 (0.6770), real noise ratio: 0.6700
Client 58, noise level: 0.5612 (0.5050), real noise ratio: 0.5267
Client 59, noise level: 0.5653 (0.5088), real noise ratio: 0.4400
Client 60, noise level: 0.9222 (0.8300), real noise ratio: 0.8250
Client 61, noise level: 0.6961 (0.6265), real noise ratio: 0.6383
Client 62, noise level: 0.5848 (0.5263), real noise ratio: 0.5383
Client 63, noise level: 0.9006 (0.8105), real noise ratio: 0.8017
Client 64, noise level: 0.9551 (0.8596), real noise ratio: 0.8717
Client 65, noise level: 0.9148 (0.8233), real noise ratio: 0.8167
Client 66, noise level: 0.8570 (0.7713), real noise ratio: 0.7833
Client 67, noise level: 0.5497 (0.4947), real noise ratio: 0.5100
Client 68, noise level: 0.9567 (0.8610), real noise ratio: 0.8400
Client 69, noise level: 0.7890 (0.7101), real noise ratio: 0.7333
Client 70, noise level: 0.9501 (0.8551), real noise ratio: 0.8367
Client 71, noise level: 0.7818 (0.7036), real noise ratio: 0.7100
Client 72, noise level: 0.5049 (0.4544), real noise ratio: 0.4733
Client 73, noise level: 0.9971 (0.8974), real noise ratio: 0.9100
Client 74, noise level: 0.5662 (0.5096), real noise ratio: 0.5083
Client 75, noise level: 0.8463 (0.7617), real noise ratio: 0.7767
Client 76, noise level: 0.6671 (0.6004), real noise ratio: 0.6067
Client 77, noise level: 0.5901 (0.5311), real noise ratio: 0.5450
Client 78, noise level: 0.5703 (0.5133), real noise ratio: 0.5167
Client 79, noise level: 0.8346 (0.7512), real noise ratio: 0.7783
Client 80, noise level: 0.6519 (0.5867), real noise ratio: 0.5617
Client 81, noise level: 0.8068 (0.7261), real noise ratio: 0.6950
Client 82, noise level: 0.9678 (0.8710), real noise ratio: 0.8700
Client 83, noise level: 0.6015 (0.5413), real noise ratio: 0.5417
Client 84, noise level: 0.5598 (0.5038), real noise ratio: 0.4900
Client 85, noise level: 0.6961 (0.6265), real noise ratio: 0.6083
Client 86, noise level: 0.8473 (0.7625), real noise ratio: 0.8083
Client 87, noise level: 0.9725 (0.8752), real noise ratio: 0.8883
Client 88, noise level: 0.5817 (0.5235), real noise ratio: 0.5150
Client 89, noise level: 0.7294 (0.6564), real noise ratio: 0.6033
Client 90, noise level: 0.6394 (0.5755), real noise ratio: 0.5450
Client 91, noise level: 0.6023 (0.5421), real noise ratio: 0.5217
Client 92, noise level: 0.6542 (0.5888), real noise ratio: 0.5900
Client 93, noise level: 0.8978 (0.8080), real noise ratio: 0.7967
Client 94, noise level: 0.5464 (0.4918), real noise ratio: 0.5300
Client 95, noise level: 0.9345 (0.8411), real noise ratio: 0.8333
Client 96, noise level: 0.9169 (0.8252), real noise ratio: 0.8017
Client 97, noise level: 0.8409 (0.7568), real noise ratio: 0.7300
Client 98, noise level: 0.6479 (0.5831), real noise ratio: 0.5650
Client 99, noise level: 0.5831 (0.5248), real noise ratio: 0.5417
Rounds 0 early training:
Round 0 train loss  2.2705
Round 0 global test acc  46.5300 

Rounds 1 early training:
Round 1 train loss  2.2378
Round 1 global test acc  12.0500 

Rounds 2 early training:
Round 2 train loss  2.0432
Round 2 global test acc  11.3700 

Rounds 3 early training:
Round 3 train loss  1.5916
Round 3 global test acc  11.3500 

Rounds 4 early training:
Round 4 train loss  1.1026
Round 4 global test acc  16.0600 

Rounds 5 early training:
Round 5 train loss  0.8168
Round 5 global test acc  11.3700 

Rounds 6 early training:
Round 6 train loss  0.0513
Round 6 global test acc  11.8800 

Rounds 7 early training:
Round 7 train loss  -2.0538
Round 7 global test acc  27.3100 

Rounds 8 early training:
Round 8 train loss  -3.2026
Round 8 global test acc  20.3300 

Rounds 9 early training:
Round 9 train loss  -6.0520
Round 9 global test acc  33.9400 

Rounds 10 early training:
Round 10 train loss  -8.4728
Round 10 global test acc  62.8000 

Rounds 11 filter noisy data:
Round 11 train loss  -24.9933
Round 11 global test acc  76.1500 

Rounds 12 filter noisy data:
Round 12 train loss  -27.0818
Round 12 global test acc  71.7800 

Rounds 13 filter noisy data:
Round 13 train loss  -28.4098
Round 13 global test acc  82.3000 

Rounds 14 filter noisy data:
Round 14 train loss  -28.7405
Round 14 global test acc  83.6600 

Rounds 15 filter noisy data:
Round 15 train loss  -28.4062
Round 15 global test acc  83.0200 

Rounds 16 filter noisy data:
Round 16 train loss  -28.8100
Round 16 global test acc  83.6500 

Rounds 17 filter noisy data:
Round 17 train loss  -28.7791
Round 17 global test acc  84.5400 

Rounds 18 filter noisy data:
Round 18 train loss  -28.4236
Round 18 global test acc  84.4000 

Rounds 19 filter noisy data:
Round 19 train loss  -29.9720
Round 19 global test acc  87.2300 

Rounds 20 filter noisy data:
Round 20 train loss  -29.6092
Round 20 global test acc  86.6200 

Rounds 21 filter noisy data:
Round 21 train loss  -30.5447
Round 21 global test acc  88.5800 

Rounds 22 filter noisy data:
Round 22 train loss  -28.9934
Round 22 global test acc  86.7100 

Rounds 23 filter noisy data:
Round 23 train loss  -30.0075
Round 23 global test acc  87.9700 

Rounds 24 filter noisy data:
Round 24 train loss  -30.3697
Round 24 global test acc  89.8300 

Rounds 25 filter noisy data:
Round 25 train loss  -30.7231
Round 25 global test acc  89.0000 

Rounds 26 filter noisy data:
Round 26 train loss  -30.5774
Round 26 global test acc  89.4100 

Rounds 27 filter noisy data:
Round 27 train loss  -30.5948
Round 27 global test acc  91.0600 

Rounds 28 filter noisy data:
Round 28 train loss  -30.6764
Round 28 global test acc  91.3700 

Rounds 29 filter noisy data:
Round 29 train loss  -29.5657
Round 29 global test acc  90.1500 

Rounds 30 filter noisy data:
Round 30 train loss  -30.1508
Round 30 global test acc  90.4300 

Rounds 31 filter noisy data:
Round 31 train loss  -30.9132
Round 31 global test acc  91.8300 

Rounds 32 filter noisy data:
Round 32 train loss  -30.6044
Round 32 global test acc  91.8300 

Rounds 33 filter noisy data:
Round 33 train loss  -30.0062
Round 33 global test acc  89.0200 

Rounds 34 filter noisy data:
Round 34 train loss  -30.5980
Round 34 global test acc  91.1900 

Rounds 35 filter noisy data:
Round 35 train loss  -30.1850
Round 35 global test acc  90.7600 

Rounds 36 filter noisy data:
Round 36 train loss  -30.2045
Round 36 global test acc  91.9500 

Rounds 37 filter noisy data:
Round 37 train loss  -30.2899
Round 37 global test acc  90.1600 

Rounds 38 filter noisy data:
Round 38 train loss  -30.4873
Round 38 global test acc  90.7100 

Rounds 39 filter noisy data:
Round 39 train loss  -31.2329
Round 39 global test acc  91.8000 

Rounds 40 filter noisy data:
Round 40 train loss  -30.0613
Round 40 global test acc  90.0900 

Rounds 41 filter noisy data:
Round 41 train loss  -29.3223
Round 41 global test acc  89.2900 

Rounds 42 filter noisy data:
Round 42 train loss  -30.8929
Round 42 global test acc  92.8700 

Rounds 43 filter noisy data:
Round 43 train loss  -30.7264
Round 43 global test acc  92.9700 

Rounds 44 filter noisy data:
Round 44 train loss  -31.2740
Round 44 global test acc  92.6700 

Rounds 45 filter noisy data:
Round 45 train loss  -31.2342
Round 45 global test acc  93.4700 

Rounds 46 filter noisy data:
Round 46 train loss  -31.4859
Round 46 global test acc  93.0000 

Rounds 47 filter noisy data:
Round 47 train loss  -30.7883
Round 47 global test acc  93.4100 

Rounds 48 filter noisy data:
Round 48 train loss  -31.5604
Round 48 global test acc  93.4200 

Rounds 49 filter noisy data:
Round 49 train loss  -30.9290
Round 49 global test acc  93.0400 

Rounds 50 filter noisy data:
Round 50 train loss  -30.1520
Round 50 global test acc  90.3300 

Rounds 51 filter noisy data:
Round 51 train loss  -30.5252
Round 51 global test acc  92.2600 

Rounds 52 filter noisy data:
Round 52 train loss  -30.3686
Round 52 global test acc  93.2900 

Rounds 53 filter noisy data:
Round 53 train loss  -31.1094
Round 53 global test acc  92.8200 

Rounds 54 filter noisy data:
Round 54 train loss  -31.1417
Round 54 global test acc  93.4000 

Rounds 55 filter noisy data:
Round 55 train loss  -30.8816
Round 55 global test acc  92.7100 

Rounds 56 filter noisy data:
Round 56 train loss  -30.8554
Round 56 global test acc  92.9800 

Rounds 57 filter noisy data:
Round 57 train loss  -30.0309
Round 57 global test acc  93.1600 

Rounds 58 filter noisy data:
Round 58 train loss  -31.3118
Round 58 global test acc  93.6100 

Rounds 59 filter noisy data:
Round 59 train loss  -30.1560
Round 59 global test acc  92.8900 

Rounds 60 filter noisy data:
Round 60 train loss  -30.9984
Round 60 global test acc  93.7100 

Rounds 61 filter noisy data:
Round 61 train loss  -30.9696
Round 61 global test acc  93.4500 

Rounds 62 filter noisy data:
Round 62 train loss  -30.9762
Round 62 global test acc  93.6700 

Rounds 63 filter noisy data:
Round 63 train loss  -31.3935
Round 63 global test acc  94.0100 

Rounds 64 filter noisy data:
Round 64 train loss  -31.0235
Round 64 global test acc  93.4400 

Rounds 65 filter noisy data:
Round 65 train loss  -30.8790
Round 65 global test acc  93.3400 

Rounds 66 filter noisy data:
Round 66 train loss  -31.2475
Round 66 global test acc  94.2300 

Rounds 67 filter noisy data:
Round 67 train loss  -31.7235
Round 67 global test acc  94.4300 

Rounds 68 filter noisy data:
Round 68 train loss  -30.9858
Round 68 global test acc  94.3100 

Rounds 69 filter noisy data:
Round 69 train loss  -31.5650
Round 69 global test acc  94.1100 

Rounds 70 filter noisy data:
Round 70 train loss  -31.7571
Round 70 global test acc  93.6900 

Rounds 71 filter noisy data:
Round 71 train loss  -31.0156
Round 71 global test acc  92.7000 

Rounds 72 filter noisy data:
Round 72 train loss  -31.6761
Round 72 global test acc  94.1900 

Rounds 73 filter noisy data:
Round 73 train loss  -31.3773
Round 73 global test acc  94.3700 

Rounds 74 filter noisy data:
Round 74 train loss  -29.7217
Round 74 global test acc  92.2600 

Rounds 75 filter noisy data:
Round 75 train loss  -30.3691
Round 75 global test acc  93.5100 

Rounds 76 filter noisy data:
Round 76 train loss  -30.4499
Round 76 global test acc  93.6700 

Rounds 77 filter noisy data:
Round 77 train loss  -31.0301
Round 77 global test acc  94.2700 

Rounds 78 filter noisy data:
Round 78 train loss  -31.2831
Round 78 global test acc  94.4500 

Rounds 79 filter noisy data:
Round 79 train loss  -31.3805
Round 79 global test acc  94.2200 

Rounds 80 filter noisy data:
Round 80 train loss  -30.9367
Round 80 global test acc  93.9800 

Rounds 81 filter noisy data:
Round 81 train loss  -31.7060
Round 81 global test acc  94.6500 

Rounds 82 filter noisy data:
Round 82 train loss  -31.2064
Round 82 global test acc  94.8700 

Rounds 83 filter noisy data:
Round 83 train loss  -31.9435
Round 83 global test acc  94.7100 

Rounds 84 filter noisy data:
Round 84 train loss  -31.6075
Round 84 global test acc  94.7400 

Rounds 85 filter noisy data:
Round 85 train loss  -31.6320
Round 85 global test acc  94.1500 

Rounds 86 filter noisy data:
Round 86 train loss  -31.2126
Round 86 global test acc  94.9100 

Rounds 87 filter noisy data:
Round 87 train loss  -30.8623
Round 87 global test acc  94.7700 

Rounds 88 filter noisy data:
Round 88 train loss  -31.7481
Round 88 global test acc  95.3500 

Rounds 89 filter noisy data:
Round 89 train loss  -31.3939
Round 89 global test acc  95.0900 

Rounds 90 filter noisy data:
Round 90 train loss  -31.4060
Round 90 global test acc  94.7200 

Rounds 91 filter noisy data:
Round 91 train loss  -31.5257
Round 91 global test acc  94.5800 

Rounds 92 filter noisy data:
Round 92 train loss  -31.3173
Round 92 global test acc  94.6600 

Rounds 93 filter noisy data:
Round 93 train loss  -31.4855
Round 93 global test acc  94.6800 

Rounds 94 filter noisy data:
Round 94 train loss  -31.6873
Round 94 global test acc  94.8600 

Rounds 95 filter noisy data:
Round 95 train loss  -31.4510
Round 95 global test acc  94.0700 

Rounds 96 filter noisy data:
Round 96 train loss  -32.1351
Round 96 global test acc  94.6800 

Rounds 97 filter noisy data:
Round 97 train loss  -31.2833
Round 97 global test acc  94.9800 

Rounds 98 filter noisy data:
Round 98 train loss  -31.4256
Round 98 global test acc  94.9300 

Rounds 99 filter noisy data:
Round 99 train loss  -31.7588
Round 99 global test acc  95.1700 

Rounds 100 filter noisy data:
Round 100 train loss  -32.0863
Round 100 global test acc  95.0400 

Rounds 101 filter noisy data:
Round 101 train loss  -32.1840
Round 101 global test acc  95.2600 

Rounds 102 filter noisy data:
Round 102 train loss  -32.1593
Round 102 global test acc  95.3900 

Rounds 103 filter noisy data:
Round 103 train loss  -32.0623
Round 103 global test acc  95.3400 

Rounds 104 filter noisy data:
Round 104 train loss  -32.3124
Round 104 global test acc  95.4300 

Rounds 105 filter noisy data:
Round 105 train loss  -32.1361
Round 105 global test acc  95.5400 

Rounds 106 filter noisy data:
Round 106 train loss  -32.1357
Round 106 global test acc  95.5000 

Rounds 107 filter noisy data:
Round 107 train loss  -32.0898
Round 107 global test acc  95.4500 

Rounds 108 filter noisy data:
Round 108 train loss  -32.2709
Round 108 global test acc  95.5600 

Rounds 109 filter noisy data:
Round 109 train loss  -32.1879
Round 109 global test acc  95.5200 

Rounds 110 filter noisy data:
Round 110 train loss  -32.2346
Round 110 global test acc  95.5700 

Rounds 111 filter noisy data:
Round 111 train loss  -32.1843
Round 111 global test acc  95.7000 

Rounds 112 filter noisy data:
Round 112 train loss  -32.2023
Round 112 global test acc  95.6500 

Rounds 113 filter noisy data:
Round 113 train loss  -32.2722
Round 113 global test acc  95.7500 

Rounds 114 filter noisy data:
Round 114 train loss  -32.1404
Round 114 global test acc  95.6500 

Rounds 115 filter noisy data:
Round 115 train loss  -32.3837
Round 115 global test acc  95.6600 

Rounds 116 filter noisy data:
Round 116 train loss  -32.2502
Round 116 global test acc  95.6300 

Rounds 117 filter noisy data:
Round 117 train loss  -32.4474
Round 117 global test acc  95.6700 

Rounds 118 filter noisy data:
Round 118 train loss  -32.3494
Round 118 global test acc  95.7400 

Rounds 119 filter noisy data:
Round 119 train loss  -32.3905
Round 119 global test acc  95.6600 

Rounds 120 filter noisy data:
Round 120 train loss  -32.1719
Round 120 global test acc  95.6600 

Rounds 121 filter noisy data:
Round 121 train loss  -32.2299
Round 121 global test acc  95.6100 

Rounds 122 filter noisy data:
Round 122 train loss  -32.2327
Round 122 global test acc  95.4800 

Rounds 123 filter noisy data:
Round 123 train loss  -32.2875
Round 123 global test acc  95.6700 

Rounds 124 filter noisy data:
Round 124 train loss  -31.9903
Round 124 global test acc  95.7200 

Rounds 125 filter noisy data:
Round 125 train loss  -32.2668
Round 125 global test acc  95.7900 

Rounds 126 filter noisy data:
Round 126 train loss  -32.0021
Round 126 global test acc  95.7500 

Rounds 127 filter noisy data:
Round 127 train loss  -32.3852
Round 127 global test acc  95.8100 

Rounds 128 filter noisy data:
Round 128 train loss  -32.2505
Round 128 global test acc  95.8500 

Rounds 129 filter noisy data:
Round 129 train loss  -32.2446
Round 129 global test acc  95.7100 

Rounds 130 filter noisy data:
Round 130 train loss  -32.2376
Round 130 global test acc  95.7300 

Rounds 131 filter noisy data:
Round 131 train loss  -32.1712
Round 131 global test acc  95.8200 

Rounds 132 filter noisy data:
Round 132 train loss  -32.1759
Round 132 global test acc  95.7800 

Rounds 133 filter noisy data:
Round 133 train loss  -32.3347
Round 133 global test acc  95.7600 

Rounds 134 filter noisy data:
Round 134 train loss  -32.1646
Round 134 global test acc  95.8100 

Rounds 135 filter noisy data:
Round 135 train loss  -32.4663
Round 135 global test acc  95.8600 

Rounds 136 filter noisy data:
Round 136 train loss  -32.3172
Round 136 global test acc  95.9300 

Rounds 137 filter noisy data:
Round 137 train loss  -32.4297
Round 137 global test acc  95.9100 

Rounds 138 filter noisy data:
Round 138 train loss  -32.0445
Round 138 global test acc  95.7100 

Rounds 139 filter noisy data:
Round 139 train loss  -32.3583
Round 139 global test acc  95.6500 

Rounds 140 filter noisy data:
Round 140 train loss  -32.4004
Round 140 global test acc  95.8000 

Rounds 141 filter noisy data:
Round 141 train loss  -32.4115
Round 141 global test acc  95.7900 

Rounds 142 filter noisy data:
Round 142 train loss  -32.3293
Round 142 global test acc  95.7400 

Rounds 143 filter noisy data:
Round 143 train loss  -32.3742
Round 143 global test acc  95.7300 

Rounds 144 filter noisy data:
Round 144 train loss  -32.3924
Round 144 global test acc  95.7400 

Rounds 145 filter noisy data:
Round 145 train loss  -32.5045
Round 145 global test acc  95.7600 

Rounds 146 filter noisy data:
Round 146 train loss  -32.3038
Round 146 global test acc  95.7300 

Rounds 147 filter noisy data:
Round 147 train loss  -32.5098
Round 147 global test acc  95.7800 

Rounds 148 filter noisy data:
Round 148 train loss  -32.4205
Round 148 global test acc  95.7700 

Rounds 149 filter noisy data:
Round 149 train loss  -32.4096
Round 149 global test acc  95.8900 

Rounds 150 filter noisy data:
Round 150 train loss  -32.2884
Round 150 global test acc  95.7900 

Rounds 151 filter noisy data:
Round 151 train loss  -32.3836
Round 151 global test acc  95.7700 

Rounds 152 filter noisy data:
Round 152 train loss  -32.0153
Round 152 global test acc  95.6700 

Rounds 153 filter noisy data:
Round 153 train loss  -32.3511
Round 153 global test acc  95.7500 

Rounds 154 filter noisy data:
Round 154 train loss  -32.3434
Round 154 global test acc  95.7900 

Rounds 155 filter noisy data:
Round 155 train loss  -32.2523
Round 155 global test acc  95.8600 

Rounds 156 filter noisy data:
Round 156 train loss  -32.3316
Round 156 global test acc  95.8400 

Rounds 157 filter noisy data:
Round 157 train loss  -32.2379
Round 157 global test acc  95.8400 

Rounds 158 filter noisy data:
Round 158 train loss  -32.4300
Round 158 global test acc  95.8600 

Rounds 159 filter noisy data:
Round 159 train loss  -32.4869
Round 159 global test acc  95.8600 

Rounds 160 filter noisy data:
Round 160 train loss  -31.9986
Round 160 global test acc  95.8400 

Rounds 161 filter noisy data:
Round 161 train loss  -32.2436
Round 161 global test acc  95.7800 

Rounds 162 filter noisy data:
Round 162 train loss  -32.2577
